Part;Value;Package;Description;DIGIKEY_PART_NUMBER;FARNELL_PART_NUMBER;MANUFACTURER_NAME;MOUSER_PART_NUMBER
*J2;;;Wire Housings HSG 3P WITH LKG RAMP;WM2012-ND;1462834;Molex;538-22-01-2037
*J3;;;Wire Housings HSG 2P WITH LKG RAMP;WM2011-ND;1654528;Molex;538-22-01-2027
*J4;;;Wire Housings HSG 2P WITH LKG RAMP;WM2011-ND;1654528;Molex;538-22-01-2027
*J5;;;Wire Housings HSG 5P WITH LKG RAMP;WM2014-ND;1756788;Molex;538-22-01-2057
*OK1;;DIP08;8P IC SOCKET ;609-4717-ND;2668407;Amphenol FCI;649-DILB8P223TLF
*SV1;Servos 01-15;Female IDC Socket;HARTING;0918516681358U-ND;1106729;Harting;617-09-18-516-6813
*SV2;Servos 16-30;Female IDC Socket;HARTING;0918516681358U-ND;1106729;Harting;617-09-18-516-6813
*SV1;Servos 01-15;16P;3M IDC Flat Cable;3M157816-1-ND;;3M;3365/16-CUT-LENGTH
*SV2;Servos 16-30;16P;3M IDC Flat Cable;3M157816-1-ND;;3M;3365/16-CUT-LENGTH
*U$1;;SIP20;20P SIP SOCKET;952-1905-ND;7991967;Harwin;855-M20-7822046
*U$1;;SIP20;20P SIP SOCKET;952-1905-ND;7991967;Harwin;855-M20-7822046
*U$1;;SIP4;4P SIP SOCKET;952-1792-ND;7991932;Harwin;855-M20-7820446
*ST-LINK;;;;952-2276-ND;3395117;Harwin;855-M22-2010505 
