Part;Value;Package;Description;DIGIKEY_PART_NUMBER;FARNELL_PART_NUMBER;MANUFACTURER_NAME;MOUSER_PART_NUMBER
C1;100nF;C025-025X050;CAPACITOR, European symbol;BC5142-ND;2112909;Vishay / BC Components;594-K104M15X7RF53L2
D1;1N4148;DO35-7;DIODE;1N4148FS-ND;2322485;Onsemi / Fairchild;512-1N4148
D2;1N4004;DO41-10;DIODE;1N4004MSCT-ND;1843708;Rectron;583-1N4004-T
J1;1727010;1727010;Conn PC Terminal Block 2 POS 3.81mm Solder ST Thru-Hole 13.5A;277-1947-ND;3704579;Phoenix Contact;651-1727010
J2;22-27-2031-03;6410-03;CONNECTOR;WM4112-ND;9731156;Molex;538-22-27-2031
J3;22-27-2021-02;6410-02;CONNECTOR;WM4111-ND;9731148;Molex;538-22-27-2021
J4;22-27-2021-02;6410-02;CONNECTOR;WM4111-ND;9731148;Molex;538-22-27-2021
J5;22-27-2051-05;6410-05;CONNECTOR;WM4114-ND;9731679;Molex;538-22-27-2051
JP1;HANDLE-MOTOR;1X03;PIN HEADER;68004-403-ND;3881564;Amphenol FCI;651-1012937890301BLF
OK1;6N137;DIL08;MOTOROLA OPTO COUPLER;160-1791-ND;1328376;Lite-On;859-6N137
R1;220?;0207/7;RESISTOR, European symbol;BC3666CT-ND;3546954;Vishay / Beyschlag;594-MBB02070C2200FCT
R2;470?;0207/7;RESISTOR, European symbol;BC3790CT-ND;3547014;Vishay / Beyschlag;594-MBB02070C4700FCT
ST-LINK;M22-7130542;RHDR5W50P0X200_1X5_1050X240X44;2mm pitch, SIL vertical socket assembly, 5 position;952-1352-5-ND;1109729;Harwin;855-M22-7130542
SV1;Servos 01-15;ML16;HARTING;1195-1694-ND;1106834;Harting;617-09185166324
SV2;Servos 16-30;ML16;HARTING;1195-1694-ND;1106834;Harting;617-09185166324
T1;2N2222;TO92;NPN TRANSISTOR;KSP2222ABUFS-ND;1700711;Diotec Semiconductors;637-2N2222A
U$1;STM32F103C8T6;STM32F103C8T6;Blue Pill Development Board;;;;
